File	id	Group
S09199	161-1	None
S09200	161-2	None
S09201	161-3	None
S09202	161-4	None
S09203	161-5	None
S09204	362-1	Low
S09205	362-2	Low
S09206	362-3	Low
S09207	362-4	Low
S09208	362-5	Low
S09209	211-1	None
S09210	211-2	None
S09211	211-3	None
S09212	211-4	None
S09213	211-5	None
S09214	441-1	High
S09215	441-2	High
S09216	441-3	High
S09217	441-4	High
S09218	441-5	High
S09219	246-1	None
S09220	246-2	None
S09221	246-3	None
S09222	246-4	None
S09223	246-5	None
S09224	77-1	High
S09225	77-2	High
S09226	77-3	High
S09227	77-4	High
S09228	77-5	High
S09229	209-1	Low
S09230	209-2	Low
S09231	209-3	Low
S09232	209-4	Low
S09233	209-5	Low
S09234	151-1	None
S09235	151-2	None
S09236	151-3	None
S09237	151-4	None
S09238	151-5	None
S09239	38-1	Low
S09240	38-2	Low
S09241	38-3	Low
S09242	38-4	Low
S09243	38-5	Low
S09249	296-1	Low
S09250	296-2	Low
S09251	296-3	Low
S09252	296-4	Low
S09253	296-5	Low
S09254	458-1	High
S09255	458-2	High
S09256	458-3	High
S09257	458-4	High
S09258	458-5	High
S09259	422-1	High
S09260	422-2	High
S09261	422-3	High
S09262	422-4	High
S09263	422-5	High
S09264	300-1	None
S09265	300-2	None
S09266	300-3	None
S09267	300-4	None
S09268	300-5	None
S09269	194-1	None
S09270	194-2	None
S09271	194-3	None
S09272	194-4	None
S09273	194-5	None
S09274	371-1	None
S09275	371-2	None
S09276	371-3	None
S09277	371-4	None
S09278	371-5	None
S09279	438-1	High
S09280	438-2	High
S09281	438-3	High
S09282	438-4	High
S09283	438-5	High
S09284	272-1	Low
S09285	272-2	Low
S09286	272-3	Low
S09287	272-4	Low
S09288	272-5	Low
S09289	299-1	High
S09290	299-2	High
S09291	299-3	High
S09292	299-4	High
S09293	299-5	High
S09294	118-1	Low
S09295	118-2	Low
S09296	118-3	Low
S09297	118-4	Low
S09298	118-5	Low
S09299	55-1	High
S09300	55-2	High
S09301	55-3	High
S09302	55-4	High
S09303	55-5	High
S09304	147-1	Low
S09305	147-2	Low
S09306	147-3	Low
S09307	147-4	Low
S09308	147-5	Low
S09309	17-1	None
S09310	17-2	None
S09311	17-3	None
S09312	17-4	None
S09313	17-5	None
S09314	309-1	None
S09315	309-2	None
S09316	309-3	None
S09317	309-4	None
S09318	309-5	None
SQ531_Blank_0	Blank_0	Blank
SQ531_Blank_1	Blank_1	Blank
SQ531_Blank_2	Blank_2	Blank
SQ531_Blank_3	Blank_3	Blank
SQ531_Blank_4	Blank_4	Blank
SQ531_Blank_5	Blank_5	Blank
SQ531_Blank_6	Blank_6	Blank
SQ531_Blank_7	Blank_7	Blank
SQ531_Blank_8	Blank_8	Blank
SQ531_Blank_9	Blank_9	Blank
SQ531_Blank_10	Blank_10	Blank
SQ531_Blank_11	Blank_11	Blank
SQ531_Blank_12	Blank_12	Blank
SQ531_Blank_13	Blank_13	Blank
SQ531_Blank_14	Blank_14	Blank
SQ531_Blank_15	Blank_15	Blank
SQ531_Blank_16	Blank_16	Blank
SQ531_Blank_17	Blank_17	Blank
